Ward Code,2019 Average IMD Score
E05000001,6.2
E05000015,12.25
E05000021,28.7
E05000026,31.37142857
E05000027,35.58333333
E05000028,35.11428571
E05000029,31.83333333
E05000030,25.61428571
E05000031,33.05714286
E05000032,38.16
E05000033,33.37142857
E05000034,36.3
E05000035,21.43333333
E05000036,38.16666667
E05000037,32.6
E05000038,33.38571429
E05000039,37.38333333
E05000040,36.93333333
E05000041,35.28333333
E05000042,24.26666667
E05000043,13.19
E05000044,27.87
E05000045,19.63333333
E05000046,27.8125
E05000047,16.92
E05000048,15.02
E05000049,15.45
E05000050,14.56
E05000051,10.32222222
E05000052,8.83
E05000053,20.55454545
E05000054,15.67
E05000055,15.95
E05000056,10.71111111
E05000057,13.84
E05000058,11.47
E05000059,9.39
E05000060,19.69
E05000061,11.85
E05000062,19.67
E05000063,15.87
E05000064,14.15714286
E05000065,22.37142857
E05000066,9.657142857
E05000067,9.1
E05000068,8.442857143
E05000069,12.7
E05000070,22.6
E05000071,21.75714286
E05000072,21.94285714
E05000073,12.5
E05000074,13
E05000075,24.81428571
E05000076,8.914285714
E05000077,18.08571429
E05000078,11
E05000079,32.05714286
E05000080,15.3
E05000081,8
E05000082,10.55714286
E05000083,9.1
E05000084,25.04285714
E05000085,22.425
E05000086,24.84444444
E05000087,21.35
E05000088,29.38333333
E05000089,27.34444444
E05000090,19.6875
E05000091,39.5375
E05000092,25.1
E05000093,12.83333333
E05000094,30.87777778
E05000095,23.8
E05000096,14.8125
E05000097,19.78888889
E05000098,18.7875
E05000099,19.675
E05000100,44.96666667
E05000101,22.35
E05000102,21.82857143
E05000103,27.4375
E05000104,22.64285714
E05000105,29.4375
E05000106,8.122222222
E05000107,8.6
E05000108,15.16666667
E05000109,10.66
E05000110,6.777777778
E05000111,10.07
E05000112,12.52727273
E05000113,10.77777778
E05000114,26.53
E05000115,27.78181818
E05000116,26.77142857
E05000117,14.73333333
E05000118,8.566666667
E05000119,7.25
E05000120,9.288888889
E05000121,28
E05000122,15.65
E05000123,22.2
E05000124,5
E05000125,16.5625
E05000126,6.266666667
E05000127,6.1
E05000128,12.0125
E05000129,17.53333333
E05000130,23.4625
E05000131,24.3
E05000132,16.41428571
E05000133,7.1375
E05000134,23.24285714
E05000135,7.028571429
E05000136,26.37142857
E05000137,18.72857143
E05000138,21.15714286
E05000139,18.95
E05000140,29.17142857
E05000141,25.175
E05000142,26.7625
E05000143,32.7625
E05000144,13.2
E05000145,15.94285714
E05000146,21.32
E05000147,17.125
E05000148,25.25454545
E05000149,31.35
E05000150,13.9625
E05000151,10.78888889
E05000152,14.73
E05000153,23.24444444
E05000154,37.97142857
E05000155,17.26666667
E05000156,12.87777778
E05000157,34.55714286
E05000158,18.92222222
E05000159,13.53333333
E05000160,8.8375
E05000161,34.52
E05000162,8.6875
E05000163,15.32222222
E05000164,27.24
E05000165,28.69
E05000166,22.31111111
E05000167,27.4
E05000168,29.01818182
E05000169,25.84
E05000170,23.54444444
E05000171,21.85555556
E05000172,29.075
E05000173,15.45
E05000174,20.36666667
E05000175,24.98
E05000176,23.0125
E05000177,26.3
E05000178,19.0375
E05000179,14.14444444
E05000180,23.66666667
E05000181,20.475
E05000182,11.075
E05000183,15.8125
E05000184,27.25555556
E05000185,33.53333333
E05000186,32.9
E05000187,18.06666667
E05000188,29.24444444
E05000189,30.54285714
E05000190,27.8625
E05000191,12.25714286
E05000192,15.0875
E05000193,21.475
E05000194,13.76666667
E05000195,26
E05000196,16.1
E05000197,41.88
E05000198,32.86666667
E05000199,32.48571429
E05000200,11.9625
E05000201,31.77
E05000202,16.4125
E05000203,32.88888889
E05000204,34.25714286
E05000205,20.27777778
E05000206,35.1
E05000207,29.0625
E05000208,13.8125
E05000209,17
E05000210,13.16666667
E05000211,35.2625
E05000212,36.26666667
E05000213,12.6875
E05000214,30.38888889
E05000215,15.7375
E05000216,24.9125
E05000217,18.725
E05000218,14.1375
E05000219,15.98333333
E05000220,30.84
E05000221,29.375
E05000222,20.76
E05000223,27.75
E05000224,28.94444444
E05000225,25.9
E05000226,26.5625
E05000227,17.58888889
E05000228,29.81666667
E05000229,31.54
E05000230,32.4625
E05000231,30.38571429
E05000232,27.48571429
E05000233,37.42857143
E05000234,26.5
E05000235,33.18333333
E05000236,30.34285714
E05000237,33.61428571
E05000238,31.91666667
E05000239,37.95
E05000240,33.21666667
E05000241,38.05714286
E05000242,31.73333333
E05000243,28.75
E05000244,35.18571429
E05000245,34.82
E05000246,34.31428571
E05000247,27.15714286
E05000248,33.9625
E05000249,42.55714286
E05000250,22.87142857
E05000251,25.8875
E05000252,18.1875
E05000253,32.56
E05000254,24.58571429
E05000255,19.04285714
E05000256,27.8625
E05000257,12.84285714
E05000258,22.68571429
E05000259,10.88
E05000260,14.95714286
E05000261,19.81428571
E05000262,20.54
E05000263,30.32857143
E05000264,17.87142857
E05000265,33.8125
E05000266,11.94285714
E05000267,25.34285714
E05000268,34.8375
E05000269,14
E05000270,12.85714286
E05000271,25.34285714
E05000272,15.21428571
E05000273,21.96666667
E05000274,12.98571429
E05000275,33.8125
E05000276,48.24285714
E05000277,26.2375
E05000278,28.96666667
E05000279,20.48571429
E05000280,39.3125
E05000281,35.275
E05000282,34.6625
E05000283,42.1625
E05000284,28.1375
E05000285,9.466666667
E05000286,14.35714286
E05000287,17.9
E05000288,19.5
E05000289,14.54285714
E05000290,18.31428571
E05000291,11.22857143
E05000292,8.183333333
E05000293,13.1
E05000294,17.17142857
E05000295,12.15714286
E05000296,18.8
E05000297,12.78333333
E05000298,6.783333333
E05000299,13.22857143
E05000300,10.58333333
E05000301,22.14285714
E05000302,17.07142857
